level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L1,AR,101101,51732,167737,894,28987
L1,AR,101103,145437,224712,2920,45116
L1,AR,101104,26216,171434,627,41001
L1,AR,101105,29445,217943,469,34714
L1,AR,101106,58770,265255,437,19724
L1,AR,101107,499555,292311,3763,22019
L1,AR,101108,55466,205229,640,23681
L1,AR,101109,94059,211750,1390,31292
L1,AR,101110,35036,158820,663,30054
L1,AR,101111,68268,171458,787,19766
L1,AR,101112,3275135,205228,56023,35105
L1,AR,101113,21578,116265,339,18266
L1,AR,101114,44519,121044,863,23464
L1,AR,101115,63132,239617,651,24709
L1,AR,101116,67207,189240,803,22611
L1,AR,101117,43744,329852,346,26090
L1,AR,101118,30601,144545,549,25932
L1,AR,101119,161658,134527,2876,23933
L1,AR,101120,28907,139610,780,37671
L1,AR,101121,28404,79122,321,8942
L1,AR,101122,144105,187048,2885,37447
L1,AR,101123,31452,202312,552,35507
L1,AR,101124,87231,131905,1540,23287
L1,AR,101125,86841,194582,747,16738
L1,AR,101126,332239,229594,4685,32376
L1,AR,101127,109057,191624,1257,22087
L1,AR,101128,114132,205699,853,15374
L1,AR,101129,68450,293810,669,28716
L1,AR,101130,39719,282324,523,37175
L1,AR,101132,247498,220808,2694,24035
L1,AR,101133,20956,147610,366,25780
L1,AR,101134,33501,254432,518,39341
L1,AR,101135,46473,204823,756,33320
L1,AR,AR888,2633109,177360,38933,26224
L2,AR,10110110,51732,167737,894,28987
L2,AR,10110310,145437,224712,2920,45116
L2,AR,10110410,26216,171434,627,41001
L2,AR,10110510,29445,217943,469,34714
L2,AR,10110610,46619,262348,374,21047
L2,AR,10110611,3469,262823,18,13637
L2,AR,10110612,8682,283152,45,14676
L2,AR,10110710,428733,299697,3323,23229
L2,AR,10110711,70822,254358,440,15803
L2,AR,10110810,55466,205229,640,23681
L2,AR,10110910,91666,213090,1360,31615
L2,AR,10110911,2393,170648,30,21393
L2,AR,10111010,35036,158820,663,30054
L2,AR,10111110,68268,171458,787,19766
L2,AR,10111210,69146,273012,906,35772
L2,AR,10111211,48512,324018,672,44884
L2,AR,10111212,61161,317286,1030,53433
L2,AR,10111213,81887,342897,1083,45350
L2,AR,10111214,56721,303392,778,41614
L2,AR,10111215,54336,293953,711,38464
L2,AR,10111216,65877,273795,1021,42434
L2,AR,10111217,56139,247691,765,33753
L2,AR,10111218,49614,290812,714,41851
L2,AR,10111219,48074,282320,710,41696
L2,AR,10111220,55360,291390,726,38213
L2,AR,10111221,59385,277612,759,35482
L2,AR,10111222,69429,294232,815,34539
L2,AR,10111223,73081,322022,898,39569
L2,AR,10111224,59295,325066,760,41665
L2,AR,10111225,109344,186414,2330,39723
L2,AR,10111226,78134,221170,1536,43479
L2,AR,10111227,59755,168587,1236,34871
L2,AR,10111228,72100,205084,1100,31289
L2,AR,10111229,37844,186157,532,26169
L2,AR,10111230,74286,151095,1267,25770
L2,AR,10111231,90565,214025,1842,43530
L2,AR,10111232,39259,206140,808,42426
L2,AR,10111233,37172,209391,756,42586
L2,AR,10111234,45872,154827,1057,35676
L2,AR,10111235,271923,127263,5293,24772
L2,AR,10111236,100663,217399,1783,38507
L2,AR,10111237,121950,190275,1696,26462
L2,AR,10111238,58454,167074,1371,39186
L2,AR,10111239,88251,151046,1913,32742
L2,AR,10111240,86019,166674,1465,28386
L2,AR,10111241,67579,211041,1435,44813
