level,country,salid,cases,cases_per_1M,deaths,deaths_per_10M
L1,AR,101101,21561,69910,551,17866
L1,AR,101103,65892,101809,2135,32987
L1,AR,101104,11823,77314,406,26549
L1,AR,101105,14191,105038,349,25832
L1,AR,101106,22219,100284,171,7718
L1,AR,101107,189144,110676,2358,13798
L1,AR,101108,25357,93823,420,15540
L1,AR,101109,40833,91925,859,19338
L1,AR,101110,20410,92520,515,23345
L1,AR,101111,32875,82567,393,9870
L1,AR,101112,1622839,101691,44264,27737
L1,AR,101113,13217,71215,180,9699
L1,AR,101114,20381,55414,538,14628
L1,AR,101115,27603,104767,434,16472
L1,AR,101116,17639,49668,548,15430
L1,AR,101117,19689,148465,191,14402
L1,AR,101118,10689,50490,357,16863
L1,AR,101119,81816,68085,1871,15570
L1,AR,101120,14203,68595,389,18787
L1,AR,101121,10205,28427,99,2758
L1,AR,101122,80218,104123,1932,25077
L1,AR,101123,17188,110560,397,25537
L1,AR,101124,28931,43747,702,10615
L1,AR,101125,41767,93586,434,9725
L1,AR,101126,171704,118656,3167,21886
L1,AR,101127,57413,100880,834,14654
L1,AR,101128,37527,67635,513,9246
L1,AR,101129,30871,132508,354,15195
L1,AR,101130,19560,139033,326,23172
L1,AR,101132,108726,97001,1688,15060
L1,AR,101133,10358,72960,230,16201
L1,AR,101134,22344,169697,410,31138
L1,AR,101135,22253,98077,582,25651
L1,AR,AR888,1189790,80141,25177,16959
L1,BR,102101,37391,100907,1054,28444
L1,BR,102102,27917,120840,434,18786
L1,BR,102103,91580,79373,2572,22292
L1,BR,102104,81098,142679,1529,26900
L1,BR,102105,184333,89582,9121,44326
L1,BR,102106,13079,84656,262,16958
L1,BR,102107,17948,116608,292,18971
L1,BR,102108,50504,77096,935,14273
L1,BR,102109,20699,114860,511,28356
L1,BR,102110,32342,147225,619,28178
L1,BR,102111,16590,102705,342,21172
L1,BR,102112,9739,66967,193,13271
L1,BR,102113,275526,77994,8525,24132
L1,BR,102114,16357,103653,282,17870
L1,BR,102115,32166,93715,543,15820
L1,BR,102116,333229,91836,11581,31917
L1,BR,102117,49638,109434,868,19136
L1,BR,102118,26473,131204,712,35288
L1,BR,102119,478752,132248,10438,28833
L1,BR,102120,26033,124738,554,26545
L1,BR,102121,15498,129365,399,33305
L1,BR,102122,25090,153303,374,22852
L1,BR,102124,39308,106192,1395,37686
L1,BR,102125,259886,115658,7557,33631
L1,BR,102126,25085,121011,639,30825
L1,BR,102127,10730,66590,230,14274
L1,BR,102128,18493,61519,871,28975
L1,BR,102129,46814,33539,2870,20562
L1,BR,102130,121354,142924,4208,49559
L1,BR,102131,32063,148908,845,39244
L1,BR,102132,115349,135129,3199,37476
L1,BR,102133,35402,166310,581,27294
L1,BR,102134,15111,129968,383,32941
L1,BR,102135,7749,57435,253,18752
L1,BR,102136,388407,76938,11215,22215
L1,BR,102137,13332,106301,248,19774
L1,BR,102138,14714,63739,471,20403
L1,BR,102139,27234,97837,1117,40128
L1,BR,102140,69020,119694,1772,30730
L1,BR,102141,18185,154594,351,29839
L1,BR,102142,36234,65253,1720,30975
L1,BR,102143,37026,93892,862,21859
L1,BR,102144,8916,78820,258,22808
L1,BR,102145,14753,99171,438,29443
L1,BR,102146,11509,70315,374,22850
L1,BR,102147,19776,137480,375,26070
L1,BR,102148,20741,89359,510,21972
L1,BR,102149,12366,87672,295,20915
L1,BR,102150,32178,99894,1050,32596
L1,BR,102151,99955,150907,2501,37759
L1,BR,102152,13139,99269,249,18813
L1,BR,102153,136072,61737,6037,27390
L1,BR,102154,8058,42624,418,22111
L1,BR,102155,17339,66415,425,16279
L1,BR,102156,50819,268616,433,22887
L1,BR,102157,18171,62361,907,31127
L1,BR,102158,41575,84909,1125,22976
L1,BR,102159,123852,110098,3536,31433
L1,BR,102160,9292,71241,391,29978
L1,BR,102161,19502,109118,673,37656
L1,BR,102162,38429,122862,790,25257
L1,BR,102163,307257,99019,9246,29797
L1,BR,102164,40391,153124,985,37342
L1,BR,102165,19988,112211,491,27564
L1,BR,102166,78903,112014,1915,27186
L1,BR,102167,72484,129091,1700,30276
L1,BR,102168,21495,142675,453,30068
L1,BR,102169,40215,119026,998,29538
L1,BR,102170,21979,166407,356,26953
L1,BR,102172,31163,89780,646,18611
L1,BR,102173,13532,98805,259,18911
L1,BR,102174,43181,78470,800,14538
L1,BR,102175,221152,59491,9331,25101
L1,BR,102176,6501,47868,278,20470
L1,BR,102177,15458,103212,427,28510
L1,BR,102178,105288,104358,2709,26851
L1,BR,102179,13628,72382,468,24857
L1,BR,102180,12853,55609,756,32709
L1,BR,102181,18144,54247,961,28732
L1,BR,102182,26295,54332,1429,29527
L1,BR,102184,25421,108345,678,28897
L1,BR,102187,19865,107503,660,35717
L1,BR,102188,12538,42054,1239,41557
L1,BR,102189,16948,97558,558,32120
L1,BR,102190,571574,47391,40807,33835
L1,BR,102191,24510,141625,772,44608
L1,BR,102192,55874,99132,2010,35661
L1,BR,102193,23892,82912,548,19017
L1,BR,102194,119121,87632,3437,25284
L1,BR,102195,52978,111567,1088,22912
L1,BR,102196,32660,166005,581,29531
L1,BR,102197,32597,88518,982,26666
L1,BR,102198,361184,95521,12733,33674
L1,BR,102199,16937,81484,482,23189
L1,BR,102200,15750,124919,289,22922
L1,BR,102201,33135,120009,736,26657
L1,BR,102202,10608,81820,381,29387
L1,BR,102203,17949,137627,535,41022
L1,BR,102204,85978,163178,2505,47542
L1,BR,102205,84267,262746,1321,41189
L1,BR,102206,36089,178141,510,25174
L1,BR,102207,78891,146134,970,17968
L1,BR,102208,30061,208195,316,21885
L1,BR,102209,35125,170677,646,31390
L1,BR,102210,58599,169010,894,25785
L1,BR,102211,152807,160452,2129,22355
L1,BR,102212,53759,151637,1042,29391
L1,BR,102213,39002,174559,465,20812
L1,BR,102214,97830,164529,1618,27211
L1,BR,102215,25660,161659,479,30177
L1,BR,102216,25044,129925,744,38598
L1,BR,102217,24072,90937,517,19531
L1,BR,102218,15206,117970,337,26145
L1,BR,102219,12230,76336,260,16228
L1,BR,102220,134689,77366,5544,31845
L1,BR,102221,14306,119973,427,35809
L1,BR,102222,44604,121539,1018,27739
L1,BR,102223,14317,120969,488,41233
L1,BR,102224,13330,95565,262,18783
L1,BR,102225,16455,102418,449,27946
L1,BR,102226,274642,88852,8405,27192
L1,BR,102227,12340,103279,504,42182
L1,BR,102228,30055,87851,685,20023
L1,BR,102229,16076,60682,452,17062
L1,BR,102231,15145,96456,215,13693
L1,BR,102233,8146,56853,458,31965
L1,BR,102234,60102,91973,1842,28188
L1,BR,102235,20050,62855,723,22665
L1,BR,102236,25620,110431,755,32543
L1,BR,102237,25121,100647,787,31531
L1,BR,102238,11775,106770,314,28472
L1,BR,102240,53740,137284,1108,28305
L1,BR,102241,27852,112831,809,32773
L1,BR,102242,64739,97158,2497,37474
L1,BR,102243,14729,65550,539,23988
L1,BR,102245,21419,88732,425,17606
L1,BR,102246,93811,178509,2709,51548
L1,BR,102247,109312,108628,2525,25092
L1,BR,102248,1392399,66970,59131,28440
L1,BR,102249,15479,128831,401,33375
L1,BR,102250,73523,92596,2649,33362
